Aircraft,Carrier,Crew,Fuel,AC Cost,Mx,Insur.,Other,Total
Small Narrowbodies,,$949,"$1,326",$489,$756,$6,$98,"$3,624"
717-200,Delta,"$1,183","$1,163",$568,$728,$2,$43,"$3,688"
A319,Virgin America,$748,"$1,325",$683,$460,$2,$113,"$3,331"
737-700/LR,United,"$1,069","$1,223",$404,$993,$2,$333,"$4,024"
737-700/LR,Delta,"$1,198","$1,192",$593,$761,$2,$45,"$3,791"
737-700/LR,Alaska,$890,"$1,203",$373,"$2,762",$1,$64,"$5,293"
A319,American,$770,"$1,229",$457,$671,$2,$44,"$3,173"
717-200,Hawaiian,$898,"$1,036",$559,"$1,569",$2,$132,"$4,197"
A319,United,"$1,067","$1,212",$90,"$1,190",$6,$467,"$4,032"
737-700/LR,Sun Country,$541,"$1,329",$516,$792,$14,$4,"$3,196"
A319,Delta,"$1,206","$1,304",$607,$778,$2,$46,"$3,944"
MD80,American,$805,"$1,587",$477,$702,$2,$54,"$3,627"
737-300,Southwest,$989,"$1,354","$1,162",$436,$8,$69,"$4,019"
737-700/LR,Southwest,"$1,015","$1,327",$371,$706,$9,$73,"$3,500"
737-400,Alaska,$908,"$1,415",$311,$572,$1,$75,"$3,281"
A319,Spirit,$577,"$1,325",$769,$391,$13,$103,"$3,178"
A320,Virgin America,$747,"$1,321",$676,$461,$2,$107,"$3,314"
MD80,Delta,"$1,176","$1,578",$559,$717,$2,$42,"$4,074"
A320,American,$921,"$1,305",$547,$803,$3,$47,"$3,625"
A320,United,"$1,076","$1,315",$231,"$1,236",$6,$346,"$4,211"
A319,Frontier,$501,"$1,015",$774,$280,$2,$71,"$2,643"
A320,JetBlue,$825,"$1,345",$471,$978,$2,$68,"$3,689"
737-400,Miami Air,"$1,459",$999,"$1,094","$1,379",$63,$109,"$5,103"
A319,Allegiant,$763,"$1,419",$390,$671,$18,$35,"$3,297"
A320,Delta,"$1,206","$1,389",$605,$777,$2,$45,"$4,025"
MD80,Allegiant,"$1,057","$1,957",$541,$932,$25,$46,"$4,558"
A320,Allegiant,$810,"$1,512",$413,$711,$19,$38,"$3,503"
A320,Spirit,$578,"$1,326",$770,$392,$13,$103,"$3,182"
A320,Frontier,$508,"$1,037",$775,$281,$2,$73,"$2,677"
,,,,,,,,
Large Narrowbodies,,"$1,074","$1,465",$478,$747,$4,$128,"$3,895"
757-200,Air Transport International,"$1,470","$2,383","$3,094","$2,674",$23,$3,"$9,647"
737-800,Alaska,$825,"$1,352",$423,$660,$2,$74,"$3,336"
737-800,Delta,"$1,221","$1,380",$628,$805,$3,$47,"$4,084"
737-800,American,"$1,040","$1,306",$618,$907,$3,$49,"$3,921"
757-200,United,"$1,083","$1,837",$75,"$1,295",$2,$404,"$4,696"
737-800,United,"$1,081","$1,393",$372,$826,$2,$332,"$4,006"
737-800,Sun Country,$539,"$1,530",$900,$908,$14,$3,"$3,895"
737-800,Miami Air,"$2,096","$1,658","$1,743","$2,413",$108,$157,"$8,176"
737-800,Southwest,"$1,040","$1,399",$291,$212,$9,$75,"$3,026"
757-200,American,"$1,292","$1,860",$765,"$1,125",$4,$67,"$5,112"
A321,American,"$1,206","$1,515",$717,"$1,052",$3,$56,"$4,549"
A321,JetBlue,$837,"$1,487",$101,$209,$1,$39,"$2,674"
737-900,United,"$1,085","$1,422",$17,$618,$3,$399,"$3,542"
737-900ER,Alaska,$845,"$1,351",$341,$184,$3,$71,"$2,794"
737-900,Alaska,$836,"$1,347",$335,$842,$1,$70,"$3,431"
737-900ER,Delta,"$1,219","$1,430",$628,$805,$3,$48,"$4,133"
A321,Virgin America,$804,"$1,236",$494,$456,$2,$59,"$3,050"
757-200,Delta,"$1,245","$1,709",$636,$816,$3,$47,"$4,456"
A321,Delta,"$1,183","$1,443",$570,$727,$2,$46,"$3,970"
